what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1353642916754
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1353642918255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353642918629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353642927022
executed,command,com.altera.sbtgui.flash.plugin,12.0.0.263,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1353642933621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353642933902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643010431
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643011975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643032006
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353643033912
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643036173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643053632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643057429
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643087880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643088832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643090922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643091843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643091952
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643095087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643099847
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1353643113322
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1353643120529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643120716
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1353643124645
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1353643129465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643130386
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1353643130417
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353643132398
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1353643134863
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1353643134863
opened,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353643140261
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1353643141072
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1353643141119
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353643163312
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1353643173312
activated,view,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1353643173312
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1353643176728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643203560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643264895
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643291385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643292321
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1353643292492
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353643292688
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1353643293350
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.263,"com.altera.debug.cdi.gdb.plugin",1353643293350
stopped,bundle,com.altera.sbtgui.launch,12.0.0.263,"com.altera.sbtgui.launch",1353643293350
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1353643293350
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1353643293360
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1353643293420
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1353643293420
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1353643293500
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1353643293530
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1353643293530
stopped,bundle,com.altera.sbtgui.ui,12.0.0.263,"com.altera.sbtgui.ui",1353643293530
